procedurecode,procedure name,,band_d,band_c,band_b,band_a,band_special
DRG3159,SALBUTAMOL 2MG TAB,4,5.2,6.916,9.88988,15.1315164,41.6116701
DRG2552,CEFIXIME 200MG ,220,250,332.5,475.475,727.47675,2000.561063
DRG2708,PROPANOLOL 40MG ,78,32.5,43.225,61.81175,94.5719775,260.0729381
DRG2202,LABETALOL 200MG ,196,182,242.06,346.1458,529.603074,1456.408454
DRG1716,LOPERAMIDE HYDROCHLORIDE 2MG ,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2289,LOSARTAN 100MG,71,58,77.14,110.3102,168.774606,464.1301665
DRG1146,AMPICILLIN CAPS 500MG ,45,18.46,24.5518,35.109074,53.71688322,147.7214289
DRG1644,ROSUVASTATIN 10MG ,250,180,239.4,342.342,523.78326,1440.403965
DRG1664,DAFLON 500MG ,600,138.67,184.4311,263.736473,403.5168037,1109.67121
DRG1390,BROMAZEPAM 1.5MG ,53,40,53.2,76.076,116.39628,320.08977
DRG2277,LORATIDINE SYRUP,850,750,997.5,1426.425,2182.43025,6001.683188
DRG1062,SPIRONOLACTONE 25MG ,36,46.8,62.244,89.00892,136.1836476,374.5050309
DRG1958,FLUCONAZOLE 200MG ,75,97.5,129.675,185.43525,283.7159325,780.2188144
DRG1821,MULTIVITE TAB,3.5,4.55,6.0515,8.653645,13.24007685,36.41021134
DRG2519,ORPHENADRINE + PARACETAMOL ,130,45.5,60.515,86.53645,132.4007685,364.1021134
DRG1818,VITAMIN C 100MG/5MLS SYRUP,300,200,266,380.38,581.9814,1600.44885
DRG1988,FUROSEMIDE 40MG ,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG1093,AMILORIDE 5MG TAB,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG1962,FLUCONAZOLE 150mg,70,91,121.03,173.0729,264.801537,728.2042268
DRG1773,DYDROGESTRONE 10MG,450,180,239.4,342.342,523.78326,1440.403965
DRG1540,CIMETIDINE 200 mg,55,71.5,95.095,135.98585,208.0583505,572.1604639
DRG1703,4.3 DEXTROSE SALINE ,530,494,657.02,939.5386,1437.494058,3953.10866
DRG2369,METRONIDAZOLE 200MG/5MLS SYRUP,360,330,438.9,627.627,960.26931,2640.740603
DRG2334,IVERMECTIN 3MG TAB,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG4064,AMLODIPINE VALSARTAN 10/160MG TAB,300,314.8,418.684,598.71812,916.0387236,2519.10649
DRG2849,TRAMADOL 50MG ,160,91,121.03,173.0729,264.801537,728.2042268
DRG2252,LISINOPRIL 20MG ,100,60.36,80.2788,114.798684,175.6419865,483.0154629
DRG1020,RABEPRAZOLE 20MG ,82,93.68,124.5944,178.169992,272.6000878,749.6502415
DRG1918,PIROXICAM 20MG ,16,20,26.6,38.038,58.19814,160.044885
DRG2433,NAPROXEN 500MG ,250,66,87.78,125.5254,192.053862,528.1481205
DRG2484,NEUROVITE,150,35.14,46.7362,66.832766,102.254132,281.198863
DRG1443,CLOTRIMAZOLE CREAM 100MG,450,411,546.63,781.6809,1195.971777,3288.922387
DRG4762,METHOCARBAMOL 500MG TABS ,90,68,90.44,129.3292,197.873676,544.152609
DRG1000,10% DEXTROSE,550,575,764.75,1093.5925,1673.196525,4601.290444
DRG1141,AMOXYCILLIN INJ. 500MG,400,200,266,380.38,581.9814,1600.44885
DRG1245,ATORVASTATIN 40MG ,142,52,69.16,98.8988,151.315164,416.116701
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,650,845,1123.85,1607.1055,2458.871415,6761.896391
DRG2119,HYDROCORTISONE 100MG INJ,400,280,372.4,532.532,814.77396,2240.62839
DRG4671,PARACETAMOL 300MG SUPPOSITORY,500,200,266,380.38,581.9814,1600.44885
DRG2964,PROCHLORPERAZINE MESYLATE INJECTION ,40,40,53.2,76.076,116.39628,320.08977
DRG1228,ASTYFER CAP,150,80,106.4,152.152,232.79256,640.17954
DRG4232,DEXAMETHASONE 1MG TAB,10,13,17.29,24.7247,37.828791,104.0291753
