,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
DRG4762,METHOCARBAMOL 500MG TABS,90,119.7,169.974,263.4597,526.9194
DRG1000,10% DEXTROSE,800,1064,1510.88,2341.864,4683.728
DRG1141,AMOXYCILLIN INJ. 500MG,500,665,944.3,1463.665,2927.33
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,1500,1995,2832.9,4390.995,8781.99
DRG2119,HYDROCORTISONE 100MG INJ,280,372.4,528.808,819.6524,1639.3048
DRG4671,PARACETAMOL 300MG SUPPOSITORY,300,399,566.58,878.199,1756.398
DRG2964,PROCHLORPERAZINE MESYLATE INJECTION,80,106.4,151.088,234.1864,468.3728
DRG1228,ASTYFER CAP,150,199.5,283.29,439.0995,878.199
DRG4232,DEXAMETHASONE 1MG TAB,30,39.9,56.658,87.8199,175.6398
DRG2203,LABETALOL 100MG,250,332.5,472.15,731.8325,1463.665
DRG2035,OFLOXACIN 400MG TAB,100,133,188.86,292.733,585.466
DRG1997,VIDAGLIPTIN 50MG,300,399,566.58,878.199,1756.398
DRG1434,AMODIAQUINE 200MG,90,119.7,169.974,263.4597,526.9194
DRG1511,CETIRIZINE 10MG,50,66.5,94.43,146.3665,292.733
DRG1712,GLICLAZIDE 60MG,158,210.14,298.3988,462.51814,925.03628
DRG2191,KETOCONAZOLE CREAM,1000,1330,1888.6,2927.33,5854.66
DRG2366,METOCHLOPRAMIDE  HYDROCHLORIDE 10MG INJECTION,200,266,377.72,585.466,1170.932
DRG1256,AMOXCILLIN CLAVULANIC 228MG/5ML SUSPENSION,2000,2660,3777.2,5854.66,11709.32
DRG1725,DICLOFENAC SODIUM GEL,1000,1330,1888.6,2927.33,5854.66
DRG1701,DEXAMETHAZONE 4MG INJ,400,532,755.44,1170.932,2341.864
DRG1832,CHLORPHENIRAMINE SYRUP,390,518.7,736.554,1141.6587,2283.3174
DRG3169,ACICLOVIR 200MG TAB,200,266,377.72,585.466,1170.932
DRG2553,CEFIXIME 400MG,300,399,566.58,878.199,1756.398
DRG2658,PENTAZOCINE INJ 30MG,400,532,755.44,1170.932,2341.864
DRG1405,HYOSCINE BUTYL-BROMIDE 20MG INJECTION,50,66.5,94.43,146.3665,292.733
DRG4908,VALSARTAN HCTZ 160/12.5MG TAB,300,399,566.58,878.199,1756.398
DRG2195,CLOTRIMAZOLE/METRONIDAZOLE/LACTOBACILLUS SPORES,600,798,1133.16,1756.398,3512.796
DRG1512,BLOOD TONIC CAPSULES,100,133,188.86,292.733,585.466
DRG2930,SIMVASTATIN 20MG,120,159.6,226.632,351.2796,702.5592
DRG1025,ACICLOVIR TAB 400MG,250,332.5,472.15,731.8325,1463.665
DRG1979,GRISEOFULVIN 125MG TAB,200,266,377.72,585.466,1170.932
DRG1249,AMOXICILLIN CLAVULANIC ACID 1.2MG INJECTION,1500,1995,2832.9,4390.995,8781.99
DRG2859,RINGER'S LACTATE,1000,1330,1888.6,2927.33,5854.66
DRG1900,AMLODIPINE VALSARTAN HCT 10/160/12.5MG TAB,800,1064,1510.88,2341.864,4683.728
DRG1980,GRISEOFULVIN 500MG,150,199.5,283.29,439.0995,878.199
DRG1002,DEXTROSE SALINE 4.3,800,1064,1510.88,2341.864,4683.728
DRG1528,CHLORPHENIRAMINE INJ 4MG,300,399,566.58,878.199,1756.398
DRG4399,HYDROCHLORTHIAZIDE 50MG,40,53.2,75.544,117.0932,234.1864
DRG1771,TAMSULOSIN HYDROCHLORIDE/FINASTERIDE 0.4/0.5MG,300,399,566.58,878.199,1756.398
DRG4836,TELMISARTAN HCT 40/12.5MG TABLET,230,305.9,434.378,673.2859,1346.5718
DRG4151,CEFUROXIME 750MG INJ,1500,1995,2832.9,4390.995,8781.99
DRG4247,DICLOFENAC 100MG SUPPOSITORIES,135,179.55,254.961,395.18955,790.3791
DRG3043,TETANUS TOXOID INJ 0.5MG,150,199.5,283.29,439.0995,878.199
DRG1463,CARVEDILOL 6.25MG TAB,41.6,55.328,78.56576,121.776928,243.553856
DRG2793,RAMIPRIL 10MG,150,199.5,283.29,439.0995,878.199
DRG1144,AMOXICILLIN 500MG INJECTION,600,798,1133.16,1756.398,3512.796
DRG1067,ALLOPURINOL 100MG TAB,100,133,188.86,292.733,585.466
DRG1482,CEFUROXIME 125MG SUSPENSION,1500,1995,2832.9,4390.995,8781.99
DRG1746,"VIT B1, B6, B12/ DICLOFENAC 50MG  (DOLOMETA)",50,66.5,94.43,146.3665,292.733
DRG1222,ASPIRIN 300MG,50,66.5,94.43,146.3665,292.733
DRG1455,CARBIMAZOLE 5MG,53.85,71.6205,101.70111,157.6367205,315.273441
DRG2197,POTASSIUM CHLORIDE INJ,50,66.5,94.43,146.3665,292.733
DRG1454,CARBAMAZEPINE 200MG TAB,200,266,377.72,585.466,1170.932
DRG3185,VITAMIN B-CO SYRUP,500,665,944.3,1463.665,2927.33
DRG1413,CALAMINE LOTION,800,1064,1510.88,2341.864,4683.728
DRG1010,GABAPENTIN 300MG,150,199.5,283.29,439.0995,878.199
DRG4544,MELOXICAM 15MG,100,133,188.86,292.733,585.466
DRG1708,HYDROCORTISONE CREAM,800,1064,1510.88,2341.864,4683.728
DRG4977,LEVOCETIRIZINE 5MG,90,119.7,169.974,263.4597,526.9194
DRG3044,TETRACYCLINE CAP 250MG,25,33.25,47.215,73.18325,146.3665
DRG1284,TRIPLE ACTION CREAM,1000,1330,1888.6,2927.33,5854.66
DRG2907,SECNIDAZOLE 500MG TABS,120,159.6,226.632,351.2796,702.5592
DRG2480,NEUROGESIC CREAM,900,1197,1699.74,2634.597,5269.194
DRG1230,ASTYMIN CAP,80,106.4,151.088,234.1864,468.3728
