procedurecode,proceduredesc,tariffamount,tariffname
DRG2078,GYNOTROSYD 100MG OVULE,1144.80,isalu
DRG2079,GYNOTROSYD 300MG OVULE,1368.00,isalu
DENT80,Habit Breaking Appliance (Removable) - Type 1,0.00,isalu
DRG2080,HAEMACEL INFUSION,28512.00,isalu
CONS025,HAEMATOLOGIST CONSULTATION,28215.00,isalu
CONS026,Haematologist Follow Up,23085.00,isalu
DIAG425,HAEMOGLOBIN -  [BLOOD],550.00,isalu
PCD28,HAEMORRHOIDECTOMY INCLUDING SIGMOIDOSCOPY,508800.00,isalu
DRG2081,HALF STRENGTH DARROWS,1662.32,isalu
DRG2082,HALFAN 100MG/5ML SUSP,2160.00,isalu
DRG2083,HALFAN 250MG TAB,840.00,isalu
DRG2086,HALOPERIDOL 5MG TAB,202.42,isalu
DRG4364,HALOPERIDOL INJ 5MG ML,1425.60,isalu
DENT81,Hawley s appliance (upper and lower),950000.00,isalu
DENT82,Hawley s appliance (upper or lower),650000.00,isalu
DIAG259,HBA1C- GLYCATED HAEMOGLOBIN -  [BLOOD],14000.00,isalu
DIAG1675,"HBSAG, SCREENING -  [SERUM]",3850.00,isalu
DIAG632,HBV ANTI HBCAG TOTAL CORE ANTIGEN,23522.40,isalu
DIAG1227,HCV-IGM ANTIBODY -  [SERUM],3742.20,isalu
DIAG1229,HCV-RNA QUANTIFICATION (VIRAL LOAD) -  [PLASMA OR SERUM],158538.60,isalu
DRG2091,HEALER SUPPOSITORY,266.40,isalu
DIAG1678,HELICOBACTER PYLORI (RAPID TEST) -  [SERUM],7843.77,isalu
DIAG722,HELICOBACTER PYLORI -[STOOL],16883.86,isalu
DRG2095,"HEPARIN INJ 50,000 IU",8090.28,isalu
DRG4376,HEPATITIS A VACCINE,8910.00,isalu
DIAG1679,HEPATITIS A VIRUS (HAV) SCREENING  [QUALITATIVE - SERUM],14000.00,isalu
DRG2096,HEPATITIS B IMMUNOGLOBULIN 180IU,124146.00,isalu
DRG2097,HEPATITIS B IMMUNOGLOBULIN 200IU,0.00,isalu
DRG4369,HEPATITIS B VACCINE,3773.00,isalu
DRG2098,HEPATITIS VACCINE,2343.75,isalu
SUR0126,HERNIORRHAPHY - OBSTRUCTED,513000.00,isalu
SUR0129,HERNIORRHAPHY WITH MESH REPAIR,810000.00,isalu
SUR0130,HERNIOTOMY (PAED),125000.00,isalu
DRG4377,Hexaxim Vaccine,44967.92,isalu
DRG4378,Hexedene 1% Mouthwash,997.92,isalu
PCD99,HIATUS HERNIA REPAIR,540000.00,isalu
DRG2099,HIB VACCINE,4687.50,isalu
DIAG723,HIGH VAGINAL SWAB (HVS) M/C/S,4466.88,isalu
DRG2100,HISTAC (RANITIDINE) 150MG TAB,165.60,isalu
DRG2101,HISTAC (RANITIDINE) 300MG TAB,208.80,isalu
DIAG487,Histology,31544.37,isalu
DIAG488,Histology for Colposcopy and Endometrial Biopsy  (In house sample),132480.00,isalu
DIAG1682,HIV 1 AND 2 SCREENING (SERUM),2500.00,isalu
BIO0001,HORMONAL PROFILE,47626.92,isalu
DIAG1894,HSG (PROCEDURE) HYSTEROSALPINGOGRAM,40629.60,isalu
DIAG395,HSV 1 AND 2 IGG ANTIBODIES TO HERPES SIMPLEX VIRUS 1 AND 2 -  [SERUM],55000.00,isalu
DIAG396,HSV 1 AND 2 IGM ANTIBODIES TO HERPES SIMPLEX VIRUS 1 AND2 -  [SERUM],63800.00,isalu
DRG2107,HUMALOG (PENFIL),5184.00,isalu
DRG2109,HUMALOG MIX 25 (PENFIL),4752.00,isalu
DRG4388,HUMAN PAPILLOMA VIRUS VACCINE,12960.00,isalu
CLI0099,HUMAN PAPILLOMAVIRUS (HPV)- IGG ANTIBODIES,73656.00,isalu
DRG2110,HUMULIN 70/30 100IU/ML PENFIL,15840.00,isalu
DRG2111,HUMULIN 70/30 100ML,7344.00,isalu
DRG2112,HUMULIN 70/30 4ML,3600.00,isalu
DRG2113,HYCOMYCIN EYE DROP,1440.00,isalu
DRG1174,HYDRALAZINE 20MG INJ,5520.65,isalu
DRG4395,,2370.06,isalu
DRG1175,HYDRALAZINE 25MG TAB,79.20,isalu
PCD235,Hydrocele Repair - Unilateral,242000.00,isalu
PCD32,Hydrocelectomy,810000.00,isalu
DRG2116,HYDROCHLOROTHIAZIDE 25MG,57.60,isalu
DRG4399,HYDROCHLORTHIAZIDE 50MG,184.01,isalu
DRG2118,HYDROCODEINE 30MG TAB,36.00,isalu
PCD39,HYDROCOELECTOMY,100000.00,isalu
DRG2119,HYDROCORTISONE 100MG INJ,611.82,isalu
DRG4400,HYDROCORTISONE 15MG TAB,564.30,isalu
DRG1708,HYDROCORTISONE CREAM,1800.00,isalu
PCD263,Hydrotubation,30000.00,isalu
DRG4405,HYDROXOCOBALAMINE INJ 1000IU,4740.12,isalu
DRG5006,HYDROXY UREA 100MG,147.22,isalu
DRG2121,HYDROXY UREA 250MG,258.98,isalu
DRG2122,HYDROXY UREA 500MG,390.00,isalu
DRG2123,HYDROXYCHLOROQUINE 200MG TABS,95.00,isalu
DRG1793,HYOSCINE BUTYL BROMIDE 10MG,135.19,isalu
MED0087,HYOSCINE BUTYL BROMIDE 10MG INJECTION,644.96,isalu
DRG1406,HYOSCINE BUTYL BROMIDE SYRUP,1963.20,isalu
DRG1405,HYOSCINE BUTYL-BROMIDE 20MG INJECTION,142.30,isalu
OPT88,Hypomer Gel,12960.00,isalu
PCD796,Hypospadias Repair,828960.00,isalu
DRG2126,HYPOVASE 1MG TAB,360.00,isalu
DIAG179,Hysteroscopy,15000.00,isalu
SUR0132,HYSTEROTOMY,1680000.00,isalu
DRG2130,IBUCAP FORTE TABLETS,890.00,isalu
DRG4414,IBUPROFEN 100MG 5ML SUSP,1100.00,isalu
DRG2131,IBUPROFEN 200MG TAB,179.41,isalu
DRG2132,IBUPROFEN 400MG,70.00,isalu
DIAG1301,IgA  -  [Serum],28084.00,isalu
DIAG584,IgE -  [Serum],19000.00,isalu
DIAG1307,IgG -  [Serum],10500.00,isalu
DIAG1310,IgM -  [EDTA  Blood],10000.00,isalu
DIAG1311,IgM -  [serum],32011.00,isalu
DRG2133,IMMUNACE CAPSULES,201.60,isalu
DRG2136,Immun-Activ Vit c,35.00,isalu
PCD301,IMPLANON INSERTION,28215.00,isalu
PCD302,IMPLANON REMOVAL,28574.82,isalu
PCD4168,In growing  Nail (Excision),25000.00,isalu
DRG4446,INACTIVATED POLIO VACCINE,550.00,isalu
MED0118,inactivated poliovirus (IPV),3773.00,isalu
SUR0164,INCISION AND DRAINAGE,35910.00,isalu
PCD903,INCUBATOR CARE,108000.00,isalu
DRG2437,INDAPAMIDE 1.5MG,170.00,isalu
DRG2138,INDAPAMIDE TABS 2.5MG,374.22,isalu
DRG2139,INDERAL 40MG TAB,64.80,isalu
Pro0010,INDIRECT OPTHALMOSCOPY,5130.00,isalu
DRG2140,INDOMETHACINE CAP,28.80,isalu
PCD272,Induction of Labour  Normal delivery,11040.00,isalu
DRG2141,INFACOL SYRUP,2520.00,isalu
DIAG1320,Inhibin A CLIA  - [Serum],25.00,isalu
DIAG1321,Inhibin B EIA - [Serum],5000.00,isalu
DRG4428,INJ METHYLPREDNISOLONE 40MG/ML,22082.62,isalu
DRG4429,INJ RABEPRAZOLE 20MG,3709.80,isalu
BIO0003,INR INVESTIGATION,24948.00,isalu
PCD299,INSERTION OF IUCD,20520.00,isalu
DRG4430,INSTACLOP 75 MG TAB,144.00,isalu
DRG4431,Insulatard Hm 100IU/ML 10 ML (Vial),5472.00,isalu
DRG2385,INSULIN 100IU/ML,1440.00,isalu
DRG3320,INSULIN 40IU/ML,2880.00,isalu
DRG2211,INSULIN GLARGINE,34919.52,isalu
DRG4433,INSULIN GLARGINE LANTUS,28600.00,isalu
DRG2142,INSULIN LENTE INJ 100IU/ML 10MLS,16073.64,isalu
DRG2537,INSULIN PEN NEEDLES,330.00,isalu
DIAG589,"INSULIN, FASTING -  [SERUM]",10121.20,isalu
DRG5005,INSULINSYRINGE,99.61,isalu
DIAG1323,Intact Parathyroid Hormone PTH -  [Serum / EDTA Plasma],69793.50,isalu
DRG2144,INTERFLOX CAP 500MG,204.48,isalu
CONS027,INTERNAL MEDICINE PHYSICIAN CONSULTATION,20000.00,isalu
CONS028,INTERNAL MEDICINE PHYSICIAN REVIEW,10000.00,isalu
PCD6003,INTRA ARTICULAR INJECTION,19440.00,isalu
CLI0069,INTRALESIONAL INJECTION,37800.00,isalu
DIAG261,IONISED CALCIUM -  [SERUM],14493.60,isalu
DRG4443,IPRATROPIUM 250MCG NEBULES,952.49,isalu
DRG4444,IPRATROPIUM 500MCG NEBULES,1333.49,isalu
DRG4445,IPRATROPIUM INHALER,2227.50,isalu
DRG1180,IRBESARTAN 150mg,451.44,isalu
DRG1181,IRBESARTAN 300mg,1244.44,isalu
PCD342,Iridectomy Or Iridotomy,177600.00,isalu
DIAG263,"Iron -  [Urine, 24 hours]",20000.00,isalu
DRG2145,IRON DEXTRAN 2ML,360.00,isalu
DIAG265,"IRON STUDIES (SERUM IRON, TIBC, TRANSFERRIN SATURATION) - [SERUM]",20000.00,isalu
DIAG1790,Iron sucrose injection,7912.08,isalu
DRG2146,ISONIAZID 300MG TAB,43.20,isalu
DRG2147,ISONIAZID SYRUP 120MLS,1123.20,isalu
MED0183,ISOPLASMA,28512.00,isalu
DRG4451,ISOPLASMA INF,28512.00,isalu
DRG2148,ISOPTOCARPINE 4% EYE DROP,2664.00,isalu
DRG2149,ISOSORBIDE DINITRATE 10MG,50.40,isalu
DRG2150,ISOSORBIDE DINITRATE 5MG TABS,36.00,isalu
DRG2151,ITRACONAZOLE 10MG SUSPENSION,630.93,isalu
DRG2152,ITRANOX 100MG TAB,316.80,isalu
DRG2334,IVERMECTIN 3MG TAB,26.87,isalu
OPT96,Ivy Flur Eye drop,2138.40,isalu
DRG2159,IVYSINE EYE DROP 10ML,1080.00,isalu
DRG2160,IVYSOLONE EYE DROP,1152.00,isalu
DRG2161,IVYTIMOL EYE DROP,1152.00,isalu
DRG2164,IVYZINC EYEDROP,1152.00,isalu
DRG2165,IVYZOXAN EYE/EAR DROP 5ML,1267.20,isalu
SUR0133,JOINT ASPIRATION,32400.00,isalu
DRG2178,JOLTAN PLUS 160/25MG * 30,560.00,isalu
DRG2382,KAOLIN SUSPENSION,907.20,isalu
DRG2182,KCL INJ.,240.00,isalu
PCD4182,Keloid Excision (Major),25000.00,isalu
DRG4472,KENACOMB CREAM,2732.40,isalu
DRG2185,KENAZOL 200MG X100 (SACHETS),1140.48,isalu
DRG2186,Keppra 250mg X6,262.89,isalu
DRG2187,Keppra 500mg X6,350.46,isalu
DRG4474,KETAMINE INJ 50MG ML,7970.23,isalu
DRG2189,KETOCONAZOLE 200MG TAB,106.18,isalu
MED0388,Ketoconazole Cream,4680.72,isalu
DRG2191,KETOCONAZOLE CREAM,1985.50,isalu
DRG2515,KETOCONAZOLE SHAMPOO,7004.84,isalu
DRG4479,KETOTIFEN 1MG TAB,1474.70,isalu
DRG3274,KETOTIFEN EYE DROP,3672.00,isalu
DRG3275,KETOTIFEN SYRUP 100MLS,4608.00,isalu
DRG2193,KETOVAIL 200mg x 14 pck,100.80,isalu
DRG4484,KNEE BRACE,13920.00,isalu
PCD4185,Knee Effusion Taps,23520.00,isalu
DRG4485,KNEE SLEEVE,7700.00,isalu
DRG4486,KNEE SUPPORT LARGE,22382.98,isalu
DRG2198,KUNIMED ACTIVATED CHARCOAL,2380.13,isalu
DRG2201,K-Y JELLY 42G,900.00,isalu
DRG2203,LABETALOL 100MG,800.00,isalu
DRG2202,LABETALOL 200MG,200.00,isalu
DRG4490,LABETALOL HCL 50MG INJECTION,1200.00,isalu
PCD312,Lacrimal Intubation - Bilateral,274000.00,isalu
DRG2205,LACTULOSE SOLUTION,18802.48,isalu
DRG2206,LACTULOSE SOLUTION 500MLS,4032.00,isalu
DRG2209,LANOXIN-PG 50MCG ELIXIR 60ML,1296.00,isalu
DRG2212,LANZOPRAZOLE 30MG TAB,338.58,isalu
PCD97,Laparoscopic Cholecystectomy,668160.00,isalu
PCD286,Laparoscopic Myomectomy,1550000.00,isalu
DIAG180,Laparoscopy,150000.00,isalu
PCD296,LAPAROTOMY,297000.00,isalu
DRG2213,LAPDAP 15 TABLET (CHILDREN),115.20,isalu
DRG2214,LAPDAP 80TABLET (ADULT),152.64,isalu
MED0192,LARGACTIL  25MG/ML,1008.00,isalu
DRG4496,Largactil 100mg x60,20.00,isalu
DRG4497,LARGACTIL INJ 50MG 2ML,920.11,isalu
MED0193,LARGACTIL TAB,72.00,isalu
PCD178,Laryngoscopy - With Or Without Biopsy,20000.00,isalu
DRG2218,Latanoprost 0.005% Eye drop,6480.00,isalu
DRG3251,LATANOPROST EYE DROP,9360.00,isalu
DIAG1359,LDH Isoenzymes Gel electrophoresis - [Serum],8270.50,isalu
DIAG270,LDH-LACTATE DEHYDROGENASE  -  [SERUM],2744.28,isalu
DRG2224,LESCOL 20MG CAP,276.48,isalu
DRG2225,LESCOL 40MG CAP,403.20,isalu
DRG4502,LETROZOLE 2 5MG,414.05,isalu
DRG2194,LEVAMISOLE 40MG TAB,36.00,isalu
DRG2226,LEVAX 40MG TAB,57.60,isalu
MED0545,LEVEMIR FLEXPEN,28800.00,isalu
MED0594,Levetiracetam (Suvitra) 500mg,1104.84,isalu
DRG4977,LEVOCETIRIZINE 5MG,50.45,isalu
DRG4505,LEVOCETIRIZINE SYRUP,3989.89,isalu
MED0447,Levofem,1840.22,isalu
DRG2228,LEVOFLOXACIN 500MG TAB,150.00,isalu
DRG2227,LEVOFLOXACIN IV 500MG,1657.57,isalu
DRG2229,LEVOTHYROXINE 100MCG,180.00,isalu
DRG2230,LEVOTHYROXINE 25MG,86.40,isalu
DRG2231,Levothyroxine 50mg,179.18,isalu
DIAG591,LH-LUTEINIZING HORMONE -  [SERUM],16883.86,isalu
MED0046,LIDOCAINE 2%/50ML INJ,1009.80,isalu
DRG4508,LIDOCAINE GEL TUBE,3104.64,isalu
DRG4509,LIGNOCAIN 2 PRC (PLAIN) 20ML INJ.,3111.24,isalu
DRG4510,LIGNOCAINE 30GM CREAM,550.00,isalu
DRG4511,LINAGLIPTIN 5MG,700.00,isalu
DRG2240,LINCOMYCIN 500MG CAP,288.00,isalu
DIAG1387,Lipase - [Urine],10234.00,isalu
DIAG274,LIPASE LEVEL -  [SERUM],2500.00,isalu
DIAG275,"LIPID PROFILE = TOTAL CHOLESTEROL, HDL,LDL,VLDL, TRIGLYCERIDES",12809.61,isalu
DRG2243,LIPITOR 40MG x30,576.00,isalu
SUR0161,LIPOMA EXCISION,30000.00,isalu
DRG2248,LIQUID PARAFFIN,1000.00,isalu
DRG2250,LISINOPRIL 10MG TAB,73.60,isalu
DRG2252,LISINOPRIL 20MG,93.60,isalu
DRG2254,LISINOPRIL 5MG TAB,64.84,isalu
DIAG278,LIVER FUNCTION TESTS,15000.00,isalu
MED0194,LIVOLIN CAPS,136.80,isalu
DRG2259,LIVOLIN FORTE,460.14,isalu
DRG2260,LOCASALENE CREAM 30G,2520.00,isalu
DRG2262,LO-FEMINAL TAB,72.00,isalu
DRG2271,LOMIR 2.5MG TAB,180.00,isalu
DRG1716,LOPERAMIDE HYDROCHLORIDE 2MG,140.00,isalu
DRG4518,LOPERAMIDE HYDROCHLORIDE 4MG,135.19,isalu
MED0082,LOPERAMIDE IMODIUM SYRUP,1500.00,isalu
DRG2278,LORATIDINE 10MG TAB,36.80,isalu
DRG2277,LORATIDINE SYRUP,1440.00,isalu
DRG2282,LORAZEPAM 2MG TAB,259.20,isalu
DRG2289,LOSARTAN 100MG,150.00,isalu
DRG2283,LOSARTAN 25MG TAB,70.00,isalu
DRG2284,LOSARTAN 50MG,70.00,isalu
DRG2301,LOSARTAN/HYDROCHLOROTHIAZIDE 50MG/12.5MG,122.00,isalu
DRG2292,LOSATRUST TABS 25MG * 10,80.00,isalu
DRG2293,LOSEC MUPS 20MG,155.52,isalu
DRG1693,LOZENGES,250.00,isalu
DRG4526,LUMBAR JACKET/SUPPORT/CORSET,11476.08,isalu
PCD790,LUMBAR PUNCTURE,15000.00,isalu
DIAG1900,LUMBAR SPINE LEFT OBLIQUE,7700.00,isalu
PCD5,LUMPECTOMY - UNSPECIFIED,144000.00,isalu
PCD4,LUMPECTOMY -BREAST,213840.00,isalu
DRG2306,lycofer syrup,1152.00,isalu
DRG2314,MAALOX SATCHET,1690.00,isalu
DIAG279,MAGNESIUM -  [SERUM],16500.00,isalu
DRG2315,MAGNESIUM SULPHATE INJECTION,2622.31,isalu
OPT179,Major  (Theatre Fee),50000.00,isalu
DIAG435,MALARIAL PARASITE THICK  AND THIN FILMS -  [BLOOD],2612.50,isalu
DRG2318,MANIX CAPSULES,374.22,isalu
DRG2319,MANNITOL 10% INFUSION,2988.22,isalu
MED0028,MANNITOL 20% INFUSION,1700.00,isalu
DIAG726,MANTOUX TEST (TUBERCULIN SKIN TEST)  -  [SKIN TEST],9931.68,isalu
SUR0160,MANUAL REMOVAL OF PLACENTA,37920.00,isalu
DRG2320,MARAX TAB,136.80,isalu
PCD244,MARSUPIALISATION,189000.00,isalu
CONS029,Maxillofacial Surgeon Review,24480.00,isalu
PCD680,Maxillofacial Surgery,13344.00,isalu
CONS030,Maxilloficial Surgeon Consultation,46170.00,isalu
DRG2325,Maxiquine syrup,1470.00,isalu
DIAG161,MAXOLONE / ANTI-VOMITING,576.00,isalu
DRG2331,MEASLES VACCINE,3773.00,isalu
PCD182,Meatoplasty,417120.00,isalu
DRG1615,MEBENDAZOLE 125MG TAB,705.16,isalu
DRG4533,MEBENDAZOLE 500MG,239.33,isalu
DRG1616,MEBENDAZOLE SYRUP,748.00,isalu
DRG2332,MEBEVERINE 135MG TAB,270.72,isalu
DRG4534,MEBO CREAM,1705.00,isalu
DRG2338,MEDICA LOZENGES LEMON,70.00,isalu
DIAG017,Medical Report and Counselling / Physicals,5280.00,isalu
DRG2346,MEDITROL 0.25mcg x30,460.10,isalu
DRG1690,MEDROXYPROGESTERONE ACETATE 150MG INJ,504.00,isalu
DRG2347,MEFENAMIC ACID 250MG TAB,72.00,isalu
DRG4539,MELADIMINE TAB 10MG,1695.00,isalu
DRG4544,MELOXICAM 15MG,261.36,isalu
DRG4549,MENCEVAX ACWY VACCINE,10450.00,isalu
DRG4550,MENINGOCOCCAL VACCINE,3773.00,isalu
PCD707,Menisectomy Temporomandibular Joint,403200.00,isalu
DRG4552,MENOGON 75IU INJ,1108.80,isalu
DRG2354,MEPIRYL 2 mg,129.60,isalu
DRG2356,MEPISAN CREAM 20G,997.92,isalu
DRG2358,MEROPENEM,17482.07,isalu
DRG5002,MEROPENEM 500MG INJ/VIAL(BRANDED),28996.68,isalu
DRG4560,MESPORIN INJ,2750.00,isalu
DRG2359,METAKELFIN TAB,328.32,isalu
DRG2533,Metamizole 500mg,510.84,isalu
DRG2360,METAPRIM CAP 20MG,50.40,isalu
DRG2042,METFORMIN 1000MG,210.45,isalu
MED0200,METFORMIN 1000MG GLIMEPIRIDE 1MG,180.00,isalu
DRG1711,METFORMIN 500MG,86.07,isalu
DRG2044,METFORMIN 850MG,108.00,isalu
DRG2388,METHADONE,604.80,isalu
DRG4762,METHOCARBAMOL 500MG TABS,90.00,isalu
DRG2363,METHOTREXATE 2.5MG TABS,3841.99,isalu
DRG4565,METHOTREXATE INJ 50MG,2619.54,isalu
DRG1063,METHYLDOPA 250MG,224.40,isalu
DRG2366,METOCHLOPRAMIDE  HYDROCHLORIDE 10MG INJECTION,735.71,isalu
DRG2330,METOCHLOPRAMIDE 10MG TAB,25.61,isalu
DRG2365,METOCHLOPRAMIDE 5MG INJ,525.78,isalu
DRG4569,METOLAZONE 5MG TABS,460.06,isalu
DRG2367,Metoprolol 50mg,157.79,isalu
DRG2368,METRONIDAZOLE 200MG TAB,36.00,isalu
DRG2369,METRONIDAZOLE 200MG/5MLS SYRUP,1800.00,isalu
DRG2370,METRONIDAZOLE 400MG TAB,100.00,isalu
DRG2371,METRONIDAZOLE 500 MG/100 ML INFUSION,748.00,isalu
DIAG282,"MICROALBUMIN -  [URINE, SPOT]",22000.00,isalu
DIAG728,MICROFILARIA DETECTION -  [BLOOD],9536.67,isalu
DIAG730,MICROSCOPY/ CULTURE AND SENSITIVITY FOR AEROBIC/ ANAEROBIC BACTERIA [ANY SAMPLE],13000.00,isalu
DRG4576,Mifepak 200mcg/200mg x5,8607.06,isalu
DRG2380,MINIPRESS TAB,100.80,isalu
OPT177,Minor (Theatre Fee),10000.00,isalu
INP0029,minor dressing pack,1000.00,isalu
DRG1661,MISOPROSTOL 200MCG TABLET,350.00,isalu
DRG2387,MMR VACCINE,11016.00,isalu
MED0116,MMR/CHICKEN POX (PRIOX TETRA),7711.20,isalu
DRG2389,MODECATE 25MG INJ,813.78,isalu
DRG2394,MOKO GLYCERINE MOUTHWASH,825.00,isalu
DRG2398,MOKO METHYLATED SPIRIT,1180.00,isalu
DRG4585,MONOTARD INSULIN HM 100 IU/ML,17784.36,isalu
MED0083,MONTELUKAST 10MG,654.65,isalu
DRG2405,MONTELUKAST 5MG,305.34,isalu
DRG2407,Montiget 4mg X14,110.00,isalu
DRG4587,MORPHINE 10MG/ML INJ,3300.00,isalu
DRG2410,MOSEGOR 0.5MG TAB,172.80,isalu
DRG4595,MOXILFOXACIN 400MG TABS AVELON,720.00,isalu
DIAG1728,MRI BRAIN,121888.80,isalu
DIAG1736,MRI CERVICAL SPINE,6240.00,isalu
DIAG1743,MRI Fore Arm,25000.00,isalu
DIAG1746,MRI KNEE,4656.00,isalu
DIAG1775,MRI Thoracic Spine,7008.00,isalu
DIAG1779,MRI Toe/Foot,4656.00,isalu
CLI0137,"MULTIPLE DELIVERY (TRIPLETS, QUADRUPLETS)",270000.00,isalu
PCD4218,Multiple Ligation Of Veins,21120.00,isalu
DRG1823,MULTIVITAMIN,15.00,isalu
DRG1008,MULTIVITAMIN SYRUP,800.00,isalu
DRG1821,MULTIVITE TAB,19.28,isalu
DRG1283,MUPIROCIN CREAM,6636.17,isalu
DRG2421,MYCOSTATIN CREAM 25MG,1584.00,isalu
MED0273,Mycostatin Drops,1603.80,isalu
DRG2422,MYCOSTATIN SYRUP,1728.00,isalu
DRG2424,MYCOTA POWDER,1680.00,isalu
DIAG1436,Myoglobin CLIA - [Serum],22096.80,isalu
PCD185,Myringoplasty - Transcanal,374400.00,isalu
DRG2432,NAPROXEN 250MG,154.44,isalu
DRG2433,NAPROXEN 500MG,64.80,isalu
PCD200,NASAL ENDOSCOPY,53280.00,isalu
PCD192,Nasal Polypectomy - Bilateral,55200.00,isalu
PCD4222,Nasal Sinus Surgery E.G Caldwell Luc,70000.00,isalu
DRG2461,NATURE'S FIELD ZINC 100MG * 100,128.07,isalu
DRG2464,NAXEN 250MG TAB,93.60,isalu
DRG2465,NAXEN 500MG TAB,108.00,isalu
MED0047,NEBIVOLOL 5MG,428.31,isalu
PCD798,NEBULISATION,3591.00,isalu
DRG2472,NEOMERCAZOLE 5MG TAB,90.72,isalu
DRG2473,NEOMYCIN POWDER,475.20,isalu
DRG2474,NEOPRESOL LOTION,1656.00,isalu
DRG4613,NEOSTIGMINE 2 5MG INJ,720.00,isalu
PCD202,Nephrectomy - Simple,1200000.00,isalu
CONS033,NEPHROLOGY CONSULTATION,28215.00,isalu
CONS034,NEPHROLOGY FOLLOW UP,23085.00,isalu
DRG2479,NEUROBION TAB,60.00,isalu
DRG4617,NEUROFEN SYRUP,2160.00,isalu
DRG2480,NEUROGESIC CREAM,480.00,isalu
CONS035,NEUROLOGIST CONSULTATION,28215.00,isalu
CONS036,NEUROLOGIST FOLLOW UP,23085.00,isalu
CONS037,NEUROSURGEON CONSULTATION,41040.00,isalu
CONS038,NEUROSURGEON FOLLOW UP,35910.00,isalu
DRG2484,NEUROVITE,354.26,isalu
DRG2487,NEVIRAPINE 200MG TAB,115.20,isalu
DRG2488,NEVIRAPINE SYRUP 240MLS,8208.00,isalu
DRG2494,NICOTINIC ACID TAB,110.42,isalu
DRG2498,NIFEDIPINE 20MG TAB,153.19,isalu
DRG4623,NIFEDIPINE 30MG TAB,70.00,isalu
DRG2501,NILIDE 100MG TABLET,79.20,isalu
DRG2502,NIMESULIDE 100MG TAB,112.32,isalu
DRG2503,NIMICA SYRUP,720.00,isalu
MED0428,Nimica tab 100mg,72.00,isalu
DRG5001,NIMODIPINE TAB,670.00,isalu
DRG2504,NIMULID SYRUP,1800.00,isalu
DRG2505,NIMULID TAB 100MG,138.24,isalu
DRG3005,NITRAZEPAM 5MG,126.90,isalu
DRG2508,NITROFURANTOIN 100MG TAB,96.00,isalu
DRG2509,NITROGLYCERINE LINGUAL,36.00,isalu
DRG2510,NIVAQUINE FORTE CAP,122.40,isalu
DRG2511,NIVAQUINE SYRUP,676.80,isalu
DRG2741,NORETHISTERONE 250MG INJ,6083.15,isalu
DRG2742,NORETHISTERONE 5MG,338.87,isalu
PCD274,Normal Delivery,60000.00,isalu
DRG2522,NORMAL SALINE,1500.00,isalu
DRG2529,NO-SPA INJ 40MG/AMP,1057.32,isalu
DRG2530,NO-SPA TAB,122.40,isalu
DRG2539,NOVORAPID FLEXPEN 100U/ML,20160.00,isalu
DRG4628,NOVOTWIST NEEDLES 32G TIP,368.04,isalu
ADM0003,Nursery Room/Accommodation,27360.00,isalu
OPT109,Nylol Gel,2376.00,isalu
DRG2548,NYOLOL OPTHALMIC GEL 0.1% 5G,3168.00,isalu
MED0206,"NYSTATIN 100,000IU 15G CREAM",100.80,isalu
DRG2549,NYSTATIN ORAL DROPS 30MLS,1440.00,isalu
DRG2550,OBRON 6-CAPSULES,92.16,isalu
OPH0033,Occullerg,1924.56,isalu
DIAG733,OCCULT BLOOD -  [STOOL],6270.00,isalu
DRG4634,OCTREOTIDE INJ,22078.98,isalu
DIAG1840,Ocular Ultrasound Scan,16822.08,isalu
DRG2555,OCUVITE CAPSULE,103.68,isalu
DRG2556,OCUVITE CAPSULE WITH LUTEIN,129.60,isalu
DRG2558,OFLOMED 200MG TABS,55.00,isalu
DRG2559,OFLOXACIN 200MG TAB,73.60,isalu
DRG2035,OFLOXACIN 400MG TAB,85.00,isalu
DRG2606,OFLOXACIN AND ORNIDAZOLE 100MG/500MG TAB,282.24,isalu
DRG2617,OFLOXACIN/BECLOMETASONE/CLOTRIMAZOLE EAR DROP,1792.93,isalu
OPT112,OINTMENT,2939.47,isalu
DRG2562,OLANZAPINE 10MG TAB,112.86,isalu
DRG2563,OLANZAPINE 5MG TAB,203.70,isalu
DRG2568,OLFEN 75mg TAB,720.00,isalu
DRG2570,Oligocare,112.86,isalu
DRG2574,OMEGA H3 CAP,6112.26,isalu
DRG2575,OMEGA-H3 Blue per sach,249.48,isalu
DRG2576,OMEGA-H3 LIQUID,110.00,isalu
DRG2580,OMEPRAZOLE 20MG INJECTION,2097.85,isalu
DRG2357,OMEPRAZOLE 20MG TAB,82.80,isalu
DRG2029,OMEPRAZOLE 40MG TAB,155.00,isalu
CONS075,ONCOLOGY(1STVISIT),47500.00,isalu
CONS076,ONCOLOGY(FOLLOWUP),25000.00,isalu
MED0101,ONDANSETRON 4MG INJECTION,1840.22,isalu
MED0332,ONDANSETRON Tab,1108.80,isalu
DRG4951,ONDANSETRON TAB 4MG,276.04,isalu
DRG4643,ONDASENTRON INJ 8MG 4ML,1100.00,isalu
DRG5000,ONGLYZA 5MG/TAB,582.12,isalu
PCD41,OPEN APPENDICECTOMY,461700.00,isalu
PCD289,Open Oophorectomy - Bilateral,491040.00,isalu
PCD291,OPEN OVARIAN CYSTECTOMY - BILATERAL,418560.00,isalu
PCD290,OPEN OVARIAN CYSTECTOMY - UNILATERAL,624000.00,isalu
