procedurecode,proceduredesc,tariffamount,tariffname
DRG1176,APROVASC 150/10MG TABS X30,1926.82,isalu
DRG1177,APROVASC 150/5MG TABS X28,1033.12,isalu
DRG1178,APROVASC 300/10MG TABS X28,891.00,isalu
DIAG1665,aPTT- Activated Partial Thromboplastin -  [Citrated  Plasma],2600.00,isalu
DRG1188,ARICEPT (DONEZEPIL),1008.00,isalu
DRG1190,Aristobet N OINTMEMT,2518.56,isalu
OPT11,Aristobet N Ointment,62400.00,isalu
PCD6001,ARM SLING,10012.46,isalu
DRG1776,ARTEETHER 150MG/2ML INJECTION,1840.22,isalu
DRG4661,ARTEETHER 75MG/2ML INJECTION,1544.40,isalu
DRG1195,ARTEMISININ/PIPERAQUINE 62.5MGMG/375MG,1000.00,isalu
DRG1198,ARTESUNATE 120MG INJ.,2208.26,isalu
DRG1437,ARTESUNATE 25MG/AMODIAQUINE 75MG,700.25,isalu
DRG1199,ARTESUNATE 50MG TAB,350.00,isalu
DRG1200,ARTESUNATE 60MG INJ.,3251.73,isalu
MED0226,ARTESUNATE INJECTION 30MG,1300.00,isalu
DRG1201,ARTESUNATE SYRUP,3318.08,isalu
DRG2816,ARTESUNATE/AMODIAQUINE 50MG/200MG,400.00,isalu
DRG1196,ARTESUNATE/MEFLOQUINE 100/125MG,0.00,isalu
DRG1197,ARTESUNATE/MEFLOQUINE 200/250MG,0.00,isalu
DRG2538,ARTESUNATE/SULFAMETHOXYPYRAZINE/PYRIMETHAMINE 100MG/250MG/12.5MG,17784.36,isalu
DRG1588,ARTESUNATE/SULFAMETHOXYPYRAZINE/PYRIMETHAMINE 200MG/500MG/25MG,528.00,isalu
DRG1084,ARTHEMETER  LUMEFRANTINE 20/120,90.00,isalu
DRG1081,ARTHEMETER  LUMEFRANTINE 80/480,213.00,isalu
BRG1081,ARTHEMETER  LUMEFRANTINE 80/480  (BRANDED),350.46,isalu
DRG1202,ARTHEMETER  LUMEFRANTINE SYRUP,2762.10,isalu
DRG2216,ARTHEMETER 80MG INJECTION,1500.00,isalu
DRG1203,ARTHEMETER INJECTION 40MG,2091.60,isalu
DRG1083,ARTHEMETER LUMEFANTRINE 40/240,110.00,isalu
DRG1209,ARTHRITISCARE SATCHET,120.00,isalu
DRG1182,ARTIFICIAL TEARS,2304.00,isalu
DRG1212,ARVED 450MG TAB,230.40,isalu
DRG1219,ASMALYN SYRUP,1164.24,isalu
BIO0017,ASO Titre anti DnaseB,5200.00,isalu
DIAG683,ASPIRATE FOR M/C/S,19602.00,isalu
DRG1222,ASPIRIN 300MG,27.60,isalu
DRG1224,ASPIRIN 75MG,36.20,isalu
DRG2482,ASPIRIN CREAM,520.00,isalu
PCD4032,"ASSISTED DELIVERY (FORCEPS,VACUUM ETC): BUNDLED PRICE",80000.00,isalu
DIAG207,AST (SGOT) -  [Serum],4775.76,isalu
DRG1227,ASTIZOL 10MG TAB,407.52,isalu
DRG1228,ASTYFER CAP,317.21,isalu
DRG1229,ASTYFER SYRUP,6865.22,isalu
DRG1230,ASTYMIN CAP,475.84,isalu
DRG1231,ASTYMIN INFUSION,10602.90,isalu
DRG1232,ASTYMIN SYRUP,7299.78,isalu
DRG1236,ATACAND 32MG BY 28,510.00,isalu
DRG1239,ATACAND PLUS 16/12.5MG,420.00,isalu
DRG2707,ATENOLOL 100MG,70.00,isalu
DRG1243,ATENOLOL 50MG TAB,270.36,isalu
MED0205,Atersunate   Amodiaquine 50mg/200mg/tab (pack),1152.00,isalu
DRG1246,ATORVASTATIN 10MG,198.45,isalu
DRG1597,ATORVASTATIN 20MG,197.13,isalu
DRG1245,ATORVASTATIN 40MG,690.64,isalu
DRG1248,ATROPINE EYE DROP,1872.00,isalu
DRG1247,ATROPINE INJ,2561.33,isalu
DRG4100,ATS 10000 IU ANTI TETANUS,648.00,isalu
PCD271,AUGMENTATION OF LABOUR,27000.00,isalu
DRG1260,AUGMENTIN DROP,1733.54,isalu
Dru0006,AURA NASAL SAUCTION/CLEARANCE,20000.00,isalu
SUR0149,AURAL TOILETING,24960.00,isalu
DRG1265,AVOCOMB 450MG TAB,360.00,isalu
DRG1266,Avodart (Dutasteride) 0.5mg,498.96,isalu
DRG1267,AVOLAM 150MG TAB,264.96,isalu
DRG1274,AZATHIOPRIN TABS 50MG,320.76,isalu
DRG3302,AZITHROMYCIN 200MG/5ML SYRUP,2100.00,isalu
DRG3303,AZITHROMYCIN 250MG,200.00,isalu
DRG1278,AZITHROMYCIN 500MG CAP,384.20,isalu
DRG1279,AZOPT EYE DROPS,6624.00,isalu
DRG1282,BACLOFEN 10MGX84 TAB,218.99,isalu
DRG1285,BANOCIDE 50MG TAB,1428.84,isalu
DIAG343,BCG Scar Report,3600.00,isalu
DRG1289,BCG VACINE,3773.00,isalu
DRG1291,BECLOX 500MG CAP,79.20,isalu
DRG1294,BECONASE NASAL SPRAY,4320.00,isalu
DRG1296,Bells Vitamin Syrup 100ml,990.00,isalu
DIAG344,"Bence Jones Proteins (Qualitative) -  [Urine, spot]",33000.00,isalu
DRG1301,BENDROFLUMETHIAZIDE 2.5MG TABS,57.60,isalu
DRG1302,BENDROFLUMETHIAZIDE TABS 5MG,64.80,isalu
DRG1322,BENZHEZOL 5MG TAB,30.00,isalu
DRG3243,BENZOYL PEROXIDE AND SALICYLIC ACID,480.00,isalu
DRG1168,Benzyl benzoate + bismuth Oxide + Bismuth subgallate+ Hydrocortisone Suppository 33mg + 24mg + 59mg cream,708.49,isalu
DRG2391,BENZYL BENZOATE LINIMENT 100MLS,1718.42,isalu
DRG1324,BENZYL PEROXIDE 10% LOTION,6237.00,isalu
DRG1325,BENZYL PEROXIDE 5% LOTION,1080.00,isalu
DIAG915,Beta HCG  Quantitative,31482.00,isalu
DRG4257,BETAMETHASONE + SALICYLIC ACID 15G,9290.64,isalu
DRG4107,BETAMETHASONE EYE DROP,2849.13,isalu
DRG1335,BETAMETHASONE N  CREAM,800.00,isalu
DRG1065,BETAMETHASONE/NEOMYCIN EYEDROP,1584.00,isalu
DRG1327,BETAXOLOL 0.5%,2304.00,isalu
DRG1339,BETNOVATE N CREAM,2520.00,isalu
DRG1341,BETROSIL CREAM 20MG,1591.13,isalu
DRG1346,BICALUTAMIDE TABS 50MG * 28,634.43,isalu
DIAG208,BICARBONATE -  [SERUM],4400.00,isalu
SUR0107,BILATERAL ARTERY LIGATION,24000.00,isalu
PCD4401,BILATERAL AURAL PACKING,20000.00,isalu
PCD126,BILATERAL HERNIA - INGUINAL REPAIR,513000.00,isalu
CLI0108,BILATERAL ORCHIDECTOMY,491040.00,isalu
PCD269,Bilateral Tubal Ligation,35000.00,isalu
DIAG209,BILIRUBIN (DIRECT) -  [SERUM],6602.31,isalu
DIAG211,BILIRUBIN (TOTAL) -  [SERUM],2000.00,isalu
DIAG212,"BILIRUBIN (TOTAL, DIRECT, INDIRECT) -  [SERUM]",6602.31,isalu
DIAG454,BIOPSY- LARGE  SPECIMEN FOR HISTOLOGY -  [TISSUE],37800.00,isalu
PCD4040,Biopsy Of Tumor Of Abdominal Wall,4704.00,isalu
DIAG456,BIOPSY- SMALL SPECIMEN FOR HISTOLOGY -  [TISSUE],30780.00,isalu
DIAG458,BIOPSY-SKIN BIOPSY FOR HISTOLOGY WITH SPECIAL STAIN (SOS) -  [TISSUE],45000.00,isalu
DRG1362,BISACODYL 10MG SUPPOSITORIES,1156.98,isalu
DRG1770,BISACODYL 10MG TAB,45.56,isalu
DRG1364,BISOPROLOL 10MG,200.00,isalu
DRG1365,BISOPROLOL 2.5MG,183.84,isalu
DRG1366,BISOPROLOL 5MG,150.00,isalu
DRG1367,BISOVOLIN TAB,144.00,isalu
DRG1368,BIVACYN SPRAY,2088.00,isalu
PCD220,Bladder - Repair Of Rupture,200000.00,isalu
DRG4114,BLADDER SYRINGE,950.40,isalu
DIAG1667,BLEEDING AND CLOTTING TIME,1000.00,isalu
CLI0139,BLEEDING TIME,3076.92,isalu
DIAG686,BLOOD CULTURE (AEROBIC AND ANAEROBIC),8000.00,isalu
BIO0016,BLOOD GROUP AND ANTIBODY,1960.20,isalu
DIAG1799,Blood Screening of Donor Blood  Infection Screen x 3 pint,1000.00,isalu
DRG1512,BLOOD TONIC CAPSULES,36.00,isalu
DRG1925,BLOOD TONIC SYRUP,2736.00,isalu
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,20000.00,isalu
PCD789,BLOOD TRANSFUSION RH -VE BLOOD WITH SET,23000.00,isalu
DRG1370,BONABABE SYRUP,420.00,isalu
CLI0132,BOTH LOWER LIMBS (ARTERIAL),85536.00,isalu
PCD9,"Breast - Simple Mastectomy, Unilateral",100000.00,isalu
Pro0004,BREAST SCAN,16251.84,isalu
DRG1381,BRETT MOUTH WASH,997.92,isalu
DRG1390,BROMAZEPAM 1.5MG,65.34,isalu
DRG1391,BROMAZEPAM 3MG,221.10,isalu
DRG1388,BROMHEXINE 80MG TAB,138.24,isalu
DRG1389,BROMOCRIPTINE 1.25MG TAB,180.00,isalu
MED0618,BRONCHOLYTE 4mg/5ml,1865.00,isalu
DRG1398,BRUSTAN-N SYRUP 60ML,648.00,isalu
PCD134,BURNS WOUND DEBRIDEMENT AND DRESSING,7500.00,isalu
DIAG540,"CA- 125 (CANCER ANTIGEN-125),  -  [SERUM]",33085.80,isalu
DIAG541,"CA- 15.3 (CANCER ANTIGEN 15.3),  -  [SERUM]",33085.80,isalu
CLI0144,CA 19.9,35640.00,isalu
DIAG542,CA- 19.9 (CANCER ANTIGEN 19.9)  -  [SERUM],13500.00,isalu
DIAG948,CA- 242  -  [Serum],13500.00,isalu
DRG1407,CABERGOLINE 0.5MG TABS,2913.69,isalu
DRG1408,CAC 1000,1485.57,isalu
INP0016,Caesarean section general ward,3000.00,isalu
PCD307,CAESERAN SECTION,500000.00,isalu
DRG4132,CAFFEINE 5MG ML INJ,24449.04,isalu
DRG1413,CALAMINE LOTION,500.00,isalu
DIAG221,CALCIUM -  [SERUM],80.45,isalu
DIAG183,CALCIUM -  [URINE],4500.00,isalu
DRG1421,CALCIUM GLUCONATE INJ,1552.32,isalu
DRG4133,CALCIUM GLUCONATE TAB,184.98,isalu
DRG1422,CALCIUM LACTATE 300MG TAB,18.40,isalu
DRG4134,CALCIUM SUSPENSION,814.97,isalu
DRG1436,CAMOSUNATE ADULT,990.71,isalu
DRG2903,CANDERSARTAN 16MG,200.00,isalu
MED0247,CANDERSARTAN 2MG,230.40,isalu
MED0251,CANDERSARTAN 32MG,1597.86,isalu
MED0248,CANDERSARTAN 4MG,403.20,isalu
DRG1441,CANDESARTAN 8MG,300.00,isalu
DRG1238,CANDESARTAN/HYDROCHLOROTHIAZIDE 16MG/12.5MG,576.00,isalu
MED0124,Candibiotic Ear Drops,1440.00,isalu
DRG1445,CANESTEN PESSARY 500MG BY 1,698.40,isalu
SUR0030,Capsule Endoscopy,53280.00,isalu
DRG1449,CAPTOPRIL 12.5MG,72.00,isalu
DRG1450,CAPTOPRIL 25MG TAB,80.64,isalu
DRG1451,CAPTOPRIL 50MG TAB,122.40,isalu
DRG1454,CARBAMAZEPINE 200MG TAB,13935.24,isalu
DRG1453,CARBAMAZEPINE 400MG TAB,200.00,isalu
DRG3031,CARBAMAZEPINE SYRUP,13935.24,isalu
DRG1455,CARBIMAZOLE 5MG,229.81,isalu
DRG1457,CARDIOACE CAP,165.60,isalu
DIAG963,Cardiolipin Antibody- IgG -  [Serum],39924.50,isalu
DIAG964,Cardiolipin Antibody- IgM -  [Serum],20000.00,isalu
CONS003,CARDIOLOGIST CONSULTATION,28215.00,isalu
CONS004,CARDIOLOGIST FOLLOW UP,20000.00,isalu
CONS005,CARDIOTHORACIC SURGEON  FOLLOW UP,35910.00,isalu
CONS006,CARDIOTHORACIC SURGEON CONSULTATION,51300.00,isalu
PCD619,Carotid Sinus Denervation,5000.00,isalu
DRG1460,CARVEDILOL 12.5MG TAB,64.80,isalu
DRG1461,CARVEDILOL 25MG TAB,79.20,isalu
DRG1462,CARVEDILOL 3.125MG,144.82,isalu
DRG1463,CARVEDILOL 6.25MG TAB,144.89,isalu
